# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	7317	7691	-							M164_0011	375		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	7317	7691	-	ACR40647.1			protein of unknown function DUF107			M164_0011	375	124	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	7727	9055	+							M164_0012	1329		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	7727	9055	+	ACR40648.1			Peptidase A5, thermopsin			M164_0012	1329	442	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	9080	9883	+							M164_0013	804		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	9080	9883	+	ACR40649.1			band 7 protein			M164_0013	804	267	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	9914	11005	-							M164_0014	1092		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	9914	11005	-	ACR40650.1			conserved hypothetical protein			M164_0014	1092	363	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	11002	11691	-							M164_0015	690		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	11002	11691	-	ACR40651.1			hypothetical protein			M164_0015	690	229	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	11678	14716	-							M164_0016	3039		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	11678	14716	-	ACR40652.1			conserved hypothetical protein			M164_0016	3039	1012	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	14721	16334	-							M164_0017	1614		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	14721	16334	-	ACR40653.1			protein of unknown function DUF87			M164_0017	1614	537	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	16379	16945	-							M164_0018	567		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	16379	16945	-	ACR40654.1			conserved hypothetical protein			M164_0018	567	188	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	16917	17801	-							M164_0019	885		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	16917	17801	-	ACR40655.1			conserved hypothetical protein			M164_0019	885	294	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	18044	18724	+							M164_0020	681		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	18044	18724	+	ACR40656.1			conserved hypothetical protein			M164_0020	681	226	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	18766	20697	+							M164_0021	1932		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	18766	20697	+	ACR40657.1			protein of unknown function DUF255			M164_0021	1932	643	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	20709	21428	+							M164_0022	720		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	20709	21428	+	ACR40658.1			short-chain dehydrogenase/reductase SDR			M164_0022	720	239	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	21429	22070	+							M164_0023	642		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	21429	22070	+	ACR40659.1			transcriptional activator, TenA family			M164_0023	642	213	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	22073	22735	+							M164_0024	663		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	22073	22735	+	ACR40660.1			conserved hypothetical protein			M164_0024	663	220	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	22729	23460	-							M164_0025	732		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	22729	23460	-	ACR40661.1			protein of unknown function DUF91			M164_0025	732	243	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	23494	24552	+							M164_0026	1059		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	23494	24552	+	ACR40662.1			glycosyl transferase family 2			M164_0026	1059	352	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	24676	25239	+							M164_0027	564		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	24676	25239	+	ACR40663.1			conserved hypothetical protein			M164_0027	564	187	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	25264	26316	+							M164_0028	1053		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	25264	26316	+	ACR40664.1			Radical SAM domain protein			M164_0028	1053	350	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	26342	27037	+							M164_0029	696		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	26342	27037	+	ACR40665.1			conserved hypothetical protein			M164_0029	696	231	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	27167	28210	-							M164_0030	1044		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	27167	28210	-	ACR40666.1			Nicotinate-nucleotide-dimethylbenzimidazolephosphoribosyltransferase			M164_0030	1044	347	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	28274	28603	+							M164_0031	330		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	28274	28603	+	ACR40667.1			conserved hypothetical protein			M164_0031	330	109	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	28609	29739	-							M164_0032	1131		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	28609	29739	-	ACR40668.1			aminotransferase class V			M164_0032	1131	376	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	29711	31423	-							M164_0033	1713		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	29711	31423	-	ACR40669.1			AMP-dependent synthetase and ligase			M164_0033	1713	570	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	31481	31957	-							M164_0034	477		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	31481	31957	-	ACR40670.1			Nucleotide binding protein PINc			M164_0034	477	158	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	31941	32690	-							M164_0035	750		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	31941	32690	-	ACR40671.1			NAD(+) kinase			M164_0035	750	249	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	32796	33863	+							M164_0036	1068		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	32796	33863	+	ACR40672.1			major facilitator superfamily MFS_1			M164_0036	1068	355	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	33841	34194	-							M164_0037	354		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	33841	34194	-	ACR40673.1			conserved hypothetical protein			M164_0037	354	117	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	34279	35277	+							M164_0038	999		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	34279	35277	+	ACR40674.1			FAD-dependent pyridine nucleotide-disulphideoxido reductase			M164_0038	999	332	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	35299	36039	+							M164_0039	741		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	35299	36039	+	ACR40675.1			protein of unknown function Met10			M164_0039	741	246	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	35962	36447	-							M164_0040	486		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	35962	36447	-	ACR40676.1			Protein of unknown function DUF371			M164_0040	486	161	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	36407	36700	-							M164_0041	294		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	36407	36700	-	ACR40677.1			protein of unknown function UPF0044			M164_0041	294	97	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	36660	36974	-							M164_0042	315		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	36660	36974	-	ACR40678.1			RNAse P, Rpr2/Rpp21 subunit			M164_0042	315	104	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	36996	37667	+							M164_0043	672		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	36996	37667	+	ACR40679.1			Suppressor Mra1 family protein			M164_0043	672	223	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	37648	38223	-							M164_0044	576		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	37648	38223	-	ACR40680.1			conserved hypothetical protein			M164_0044	576	191	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	38298	38477	-							M164_0045	180		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	38298	38477	-	ACR40681.1			hypothetical protein			M164_0045	180	59	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	39052	39936	+							M164_0046	885		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	39052	39936	+	ACR40682.1			cation diffusion facilitator family transporter			M164_0046	885	294	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	39904	40770	-							M164_0047	867		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	39904	40770	-	ACR40683.1			protein of unknown function DUF191			M164_0047	867	288	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	40874	41404	+							M164_0048	531		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	40874	41404	+	ACR40684.1			protein of unknown function DUF84			M164_0048	531	176	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	41385	42038	-							M164_0049	654		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	41385	42038	-	ACR40685.1			conserved hypothetical protein			M164_0049	654	217	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	42051	42458	-							M164_0050	408		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	42051	42458	-	ACR40686.1			thioredoxin			M164_0050	408	135	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	42515	43429	+							M164_0051	915		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	42515	43429	+	ACR40687.1			FAD dependent oxidoreductase			M164_0051	915	304	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	43419	44132	+							M164_0052	714		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	43419	44132	+	ACR40688.1			Protein of unknown function DUF516			M164_0052	714	237	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	44097	44729	-							M164_0053	633		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	44097	44729	-	ACR40689.1			Phosphoglycerate mutase			M164_0053	633	210	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	44798	45775	+							M164_0054	978		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	44798	45775	+	ACR40690.1			metallophosphoesterase			M164_0054	978	325	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	45987	46313	+							M164_0055	327		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	45987	46313	+	ACR40691.1			conserved hypothetical protein			M164_0055	327	108	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	46315	48078	-							M164_0056	1764		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	46315	48078	-	ACR40692.1			BPS2 protein-like protein			M164_0056	1764	587	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	48286	49209	+							M164_0057	924		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	48286	49209	+	ACR40693.1			Inosine/uridine-preferring nucleoside hydrolase			M164_0057	924	307	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	49183	49593	-							M164_0058	411		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	49183	49593	-	ACR40694.1			ferric uptake regulator, Fur family			M164_0058	411	136	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	49697	50182	+							M164_0059	486		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	49697	50182	+	ACR40695.1			conserved hypothetical protein			M164_0059	486	161	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	50160	50837	+							M164_0060	678		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	50160	50837	+	ACR40696.1			Methyltransferase type 11			M164_0060	678	225	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	51096	51914	+							M164_0061	819		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	51096	51914	+	ACR40697.1			cation diffusion facilitator family transporter			M164_0061	819	272	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	51911	52930	-							M164_0062	1020		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	51911	52930	-	ACR40698.1			conserved hypothetical protein			M164_0062	1020	339	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	52927	55521	-							M164_0063	2595		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	52927	55521	-	ACR40699.1			Rad50 zinc hook domain protein			M164_0063	2595	864	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	55518	56666	-							M164_0064	1149		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	55518	56666	-	ACR40700.1			metallophosphoesterase			M164_0064	1149	382	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	56666	58168	-							M164_0065	1503		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	56666	58168	-	ACR40701.1			protein of unknown function DUF87			M164_0065	1503	500	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	58264	58812	-							M164_0066	549		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	58264	58812	-	ACR40702.1			conserved hypothetical protein			M164_0066	549	182	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	59070	60575	+							M164_0067	1506		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	59070	60575	+	ACR40703.1			carbohydrate kinase, YjeF related protein			M164_0067	1506	501	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	60567	61016	-							M164_0068	450		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	60567	61016	-	ACR40704.1			alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergen			M164_0068	450	149	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	61097	62632	+							M164_0069	1536		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	61097	62632	+	ACR40705.1			phosphoenolpyruvate carboxylase			M164_0069	1536	511	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	62629	63438	+							M164_0070	810		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	62629	63438	+	ACR40706.1			conserved hypothetical protein			M164_0070	810	269	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	63428	64096	-							M164_0071	669		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	63428	64096	-	ACR40707.1			protein of unknown function DUF1641			M164_0071	669	222	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	64103	65347	-							M164_0072	1245		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	64103	65347	-	ACR40708.1			FAD-dependent pyridine nucleotide-disulphideoxido reductase			M164_0072	1245	414	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	65481	66074	+							M164_0073	594		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	65481	66074	+	ACR40709.1			conserved hypothetical protein			M164_0073	594	197	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	66071	66712	+							M164_0074	642		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	66071	66712	+	ACR40710.1			conserved hypothetical protein			M164_0074	642	213	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	66701	67648	-							M164_0075	948		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	66701	67648	-	ACR40711.1			LAO/AO transport system ATPase			M164_0075	948	315	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	67638	68063	-							M164_0076	426		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	67638	68063	-	ACR40712.1			cobalamin B12-binding domain protein			M164_0076	426	141	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	68175	68462	+							M164_0077	288		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	68175	68462	+	ACR40713.1			conserved hypothetical protein			M164_0077	288	95	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	68449	68856	-							M164_0078	408		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	68449	68856	-	ACR40714.1			regulatory protein, ArsR			M164_0078	408	135	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	69064	69603	+							M164_0079	540		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	69064	69603	+	ACR40715.1			conserved hypothetical protein			M164_0079	540	179	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	69687	70163	-							M164_0080	477		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	69687	70163	-	ACR40716.1			conserved hypothetical protein			M164_0080	477	158	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	70253	70558	+							M164_0081	306		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	70253	70558	+	ACR40717.1			conserved hypothetical protein			M164_0081	306	101	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	70541	71422	-							M164_0082	882		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	70541	71422	-	ACR40718.1			protein of unknown function DUF81			M164_0082	882	293	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	71626	72024	-							M164_0083	399		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	71626	72024	-	ACR40719.1			iron dependent repressor			M164_0083	399	132	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	72080	72949	+							M164_0084	870		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	72080	72949	+	ACR40720.1			dihydrodipicolinate synthetase			M164_0084	870	289	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	73011	73661	+							M164_0085	651		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	73011	73661	+	ACR40721.1			phage SPO1 DNA polymerase-related protein			M164_0085	651	216	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	73612	74397	+							M164_0086	786		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	73612	74397	+	ACR40722.1			short-chain dehydrogenase/reductase SDR			M164_0086	786	261	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	74508	75995	+							M164_0087	1488		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	74508	75995	+	ACR40723.1			conserved hypothetical protein			M164_0087	1488	495	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	75999	76244	+							M164_0088	246		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	75999	76244	+	ACR40724.1			Protein of unknown function DUF131			M164_0088	246	81	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	76266	77549	-							M164_0089	1284		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	76266	77549	-	ACR40725.1			conserved hypothetical protein			M164_0089	1284	427	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	77489	78022	+							M164_0090	534		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	77489	78022	+	ACR40726.1			NUDIX hydrolase			M164_0090	534	177	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	78003	79415	-							M164_0091	1413		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	78003	79415	-	ACR40727.1			cysteinyl-tRNA synthetase			M164_0091	1413	470	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	79428	80318	-							M164_0092	891		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	79428	80318	-	ACR40728.1			bifunctional phosphoglucose/phosphomannose isomerase			M164_0092	891	296	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	80311	80748	-							M164_0093	438		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	80311	80748	-	ACR40729.1			conserved hypothetical protein			M164_0093	438	145	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	80801	82126	+							M164_0094	1326		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	80801	82126	+	ACR40730.1			CoA-disulfide reductase			M164_0094	1326	441	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	82201	83319	+							M164_0095	1119		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	82201	83319	+	ACR40731.1			conserved hypothetical protein			M164_0095	1119	372	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	83316	85145	+							M164_0096	1830		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	83316	85145	+	ACR40732.1			protein of unknown function DUF87			M164_0096	1830	609	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	85170	85559	+							M164_0097	390		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	85170	85559	+	ACR40733.1			conserved hypothetical protein			M164_0097	390	129	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	85537	86493	+							M164_0098	957		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	85537	86493	+	ACR40734.1			thioesterase superfamily protein			M164_0098	957	318	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	86454	87542	-							M164_0099	1089		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	86454	87542	-	ACR40735.1			conserved hypothetical protein			M164_0099	1089	362	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	87596	88375	+							M164_0100	780		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	87596	88375	+	ACR40736.1			short-chain dehydrogenase/reductase SDR			M164_0100	780	259	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	88386	89129	+							M164_0101	744		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	88386	89129	+	ACR40737.1			exodeoxyribonuclease III Xth			M164_0101	744	247	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	89121	90788	-							M164_0102	1668		
